psim7,Effect,model
0.5266374969482421,-0.6945117283473254,SCYM
0.9772913208007813,-0.9026316853933478,SCYM
1.0708678487141927,-0.9562832841447837,SCYM
1.130210164388021,-0.9502516802709204,SCYM
1.1760060119628906,-0.9783098561650583,SCYM
1.2115316772460938,-1.0170555404659551,SCYM
1.2420452423095703,-0.9072939453495947,SCYM
1.2684490356445313,-0.9408345541119636,SCYM
1.2925253397623697,-0.9128178457498628,SCYM
1.3138007934570313,-0.8491895702850969,SCYM
1.3339686686197916,-0.7841280762586733,SCYM
1.3527649739583334,-0.7393639641582014,SCYM
1.3698774169921875,-0.6973434428608688,SCYM
1.3863127441406249,-0.6730665626393733,SCYM
1.4023131958007813,-0.6526372982212348,SCYM
1.416752392578125,-0.6381338126374786,SCYM
1.4314053141276042,-0.5735695334689181,SCYM
1.4447754923502605,-0.5294700304719849,SCYM
1.4580660051618304,-0.5117982304436532,SCYM
1.4714506138392858,-0.4773561259371908,SCYM
1.4841849975585937,-0.45419262270290583,SCYM
1.4969624267578125,-0.42081600232678645,SCYM
1.5094628499348959,-0.3922694711357651,SCYM
1.5210990193684895,-0.33464831928820554,SCYM
1.5324047407670454,-0.2827334746150335,SCYM
1.5441362060546875,-0.284561000545974,SCYM
1.5559785766601564,-0.2658517572060707,SCYM
1.5676202697753907,-0.24506629994224688,SCYM
1.57940234375,-0.22475585142033067,SCYM
1.5907862243652344,-0.22597156772133703,SCYM
1.6019432067871093,-0.18564804717985028,SCYM
1.6132592163085937,-0.18351892001489023,SCYM
1.624488993326823,-0.1849616964131,SCYM
1.6361486083984376,-0.17917068323114704,SCYM
1.6473422241210938,-0.19421180772375324,SCYM
1.6586738037109374,-0.17547091356978317,SCYM
1.6701891479492188,-0.15935557288990154,SCYM
1.6814261474609375,-0.14959750450646558,SCYM
1.6932262573242187,-0.13305693887154935,SCYM
1.7050278843470983,-0.12779572412619666,SCYM
1.717163330078125,-0.11542642806751979,SCYM
1.7295513509114584,-0.10576910597744416,SCYM
1.741959014892578,-0.11415994466699897,SCYM
1.7542590128580728,-0.10789405631226012,SCYM
1.7665760192871094,-0.0926835895885123,SCYM
1.77919296875,-0.06734431972752164,SCYM
1.79289697265625,-0.039352811377005414,SCYM
1.8063428588867187,-0.016396679422688742,SCYM
1.820458964029948,-0.02085945670365974,SCYM
1.83422138671875,-0.006864876417308596,SCYM
1.8483804199218752,0.005000888164225281,SCYM
1.863498828125,0.01521554943914516,SCYM
1.878677978515625,0.02091999817884782,SCYM
1.8946326171875,0.042724450008419956,SCYM
1.9102040100097657,0.034701644798243336,SCYM
1.9262594604492187,0.0465151324885168,SCYM
1.94301171875,0.0716243750449892,SCYM
1.9602164611816406,0.09226002828691371,SCYM
1.9777061767578126,0.10710079295727681,SCYM
1.9967539520263673,0.12017494112122362,SCYM
2.0152134704589844,0.14781732501290756,SCYM
2.0346449584960937,0.1622212768558341,SCYM
2.0550119873046877,0.18788953104360429,SCYM
2.075955291748047,0.20036175955440483,SCYM
2.0978280378069196,0.2260508199051483,SCYM
2.120108683268229,0.23276912604132283,SCYM
2.143747029622396,0.26212382716044935,SCYM
2.1673868408203125,0.26745384186637844,SCYM
2.1924098663330076,0.24751421803272822,SCYM
2.2197479248046874,0.2562589997308483,SCYM
2.247794921875,0.29387628536146526,SCYM
2.2775723470052083,0.303398480847073,SCYM
2.309315185546875,0.30853673683522076,SCYM
2.345164453125,0.3100000179625395,SCYM
2.3824902750651042,0.3145588496465861,SCYM
2.421939174107143,0.3275166202492259,SCYM
2.465490498860677,0.34119285859086723,SCYM
2.511700390625,0.3486908909440636,SCYM
2.5628463309151783,0.3678140414638251,SCYM
2.6167265625000002,0.3728069087622723,SCYM
2.67603857421875,0.40505352529650307,SCYM
2.7349896763392856,0.4366843175343844,SCYM
2.7955654296875,0.47488917272385334,SCYM
2.8635733235677083,0.5512849666644604,SCYM
2.94643125,0.636270740956085,SCYM
3.04487548828125,0.6401287935696818,SCYM
3.165527978515625,0.7140715674493638,SCYM
3.320619659423828,0.7375511443485325,SCYM
3.590168212890625,0.8355697670888564,SCYM
3.9,0.7445842803720248,SCYM
