psim7,Effect,vpd_tile
0.5266374969482421,-0.07712564523366766,1
1.0471275024414062,-0.31242304927556763,1
1.1465339965820311,-0.41868160569575325,1
1.2086083984375,-0.5920337233211512,1
1.253531494140625,-0.47195397019035473,1
1.2937755126953125,-0.48913673773839283,1
1.3287234802246095,-0.41537425272372885,1
1.3602347412109375,-0.3460037650355197,1
1.3889104919433595,-0.3142546687531774,1
1.4167675170898437,-0.30199876265810366,1
1.4440682525634765,-0.23767320791579272,1
1.4698382364908853,-0.21165464095275538,1
1.4961821899414063,-0.1809689798892239,1
1.5219685756138392,-0.08063385594209778,1
1.5494767822265625,-0.04229133032723139,1
1.5768726603190104,-0.046977130298672454,1
1.6044929809570312,0.008472265244202776,1
1.6335584019252232,-0.007403624286539234,1
1.6635422363281251,-0.01799710852603459,1
1.6956388346354168,0.02278628244739131,1
1.730461376953125,0.07726077437096704,1
1.7676834920247395,0.10277828875007877,1
1.8097584838867187,0.11155272880836734,1
1.85603466796875,0.11783878698393124,1
1.9048348022460937,0.1204626097473876,1
1.9578717346191405,0.1401998877381289,1
2.0159671630859375,0.10430965227348812,1
2.081516015625,0.15229870935330714,1
2.151283203125,0.16387380280561398,1
2.229061508178711,0.1668078911507848,1
2.319249481201172,0.15261884590753685,1
2.4244442138671873,0.18012270277042725,1
2.5389995930989584,0.23811187362927672,1
2.668092956542969,0.24183793186102082,1
2.798434488932292,0.3005291273271028,1
3.049836962890625,0.39622679624869656,1
3.9,0.3742747554726434,1
0.5870297546386719,-0.501751181818063,2
1.07063671875,-0.7605437931148434,2
1.1835769856770832,-0.7264012500146269,2
1.2595245797293526,-0.6181287432558208,2
1.3155445731026787,-0.535439360564089,2
1.3614755981445312,-0.41748778598916747,2
1.4006104838053386,-0.3667472791288609,2
1.4346515590122768,-0.27940097120839635,2
1.4656157836914063,-0.20285067114871203,2
1.494776123046875,-0.20862239771650387,2
1.521681884765625,-0.1755695823037901,2
1.5464863891601561,-0.16225053002844086,2
1.5729557495117188,-0.1312434980546912,2
1.5976834193638394,-0.07303092167449832,2
1.622719580078125,-0.054177915316084124,2
1.648233174641927,-0.07102521245114712,2
1.6735715026855469,-0.04047826404186877,2
1.6994324951171875,-0.04069960124552785,2
1.7269767456054688,-0.028067813286466847,2
1.755275,-0.01896803634982147,2
1.7835572374131945,0.038266192318739956,2
1.8146590087890626,0.07859599234598746,2
1.8469580078125,0.0898256682416424,2
1.882970489501953,0.10550707578115359,2
1.9214059448242187,0.09617951099324162,2
1.9610283406575522,0.16633511420159175,2
2.0052304164341517,0.14288493465068663,2
2.052685791015625,0.1978152507545029,2
2.1045766194661457,0.23086539053044997,2
2.161397102355957,0.2668333400158256,2
2.2215994349888395,0.22941287323263215,2
2.291718994140625,0.2228405857280028,2
2.3754923095703124,0.2384575203090994,2
2.477738525390625,0.24364228669218335,2
2.6098299967447915,0.2728181973931777,2
2.772835693359375,0.3546218453518717,2
2.981324432373047,0.46664104612680724,2
3.9,0.5105223166064693,2
0.7318350016276042,-2.0513642175731945,3
1.2811274047851562,-1.7621296659295274,3
1.3808470255533853,-1.3486914239235186,3
1.4422588134765626,-1.1182741902873259,3
1.4926638061523438,-0.8380557890408313,3
1.5341184997558595,-0.6799659587218831,3
1.5703692626953125,-0.6042094846280415,3
1.6049809977213543,-0.5158466525331036,3
1.6359002380371095,-0.4831146137525346,3
1.6663621477399553,-0.4293163313510391,3
1.6956407958984374,-0.376575477358462,3
1.7254549865722657,-0.35235491476169023,3
1.754654638671875,-0.37796847797948474,3
1.78335498046875,-0.31057423866329925,3
1.8146433837890625,-0.27788738225965615,3
1.843154035295759,-0.2545640713622259,3
1.8775509711371527,-0.21928675643919782,3
1.9110098164876301,-0.17062078162034844,3
1.945802230834961,-0.10213102031007604,3
1.9832589634486606,-0.009316098336276557,3
2.0230677978515628,0.08005819628579136,3
2.0664992187499998,0.11246509154419071,3
2.112404541015625,0.15474567892929292,3
2.1645233561197914,0.20893359718271132,3
2.2233420410156253,0.22765272014625415,3
2.2893322928292412,0.31907759670058233,3
2.369614599609375,0.3496987607891828,3
2.472542822265625,0.3808562730784426,3
2.5978267415364584,0.40394920648615784,3
2.7561609933035713,0.48631818474713384,3
2.9133866373697916,0.7278660191130801,3
3.0750011393229166,0.7611896854096836,3
3.2537260742187497,0.8122917830966334,3
3.4932943115234374,0.8672498027338489,3
3.9,0.78967189052362,3
